GalaxyName,TrueClass,PredictedClass,ErrorFamily,ProjectionRMS,LOOGOThreshold,MarginScoreMinusThreshold,NPoints,ProjectionLowAccelerationMean,ProjectionRadiusPearson,EvidenceType,Confidence,EvidenceSummary,DiagnosticNote
CamB,A,C,false_positive_A_as_C,0.963585384,0.165021921,0.798563463,9,0.914035002,-0.997883527,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Deep GMRT HI work reports a regular velocity field consistent with rotation, aligned HI/optical axes, and well-behaved kinematics; accept as direct regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Deep GMRT HI work reports a regular velocity field consistent with rotation, aligned HI/optical axes, and well-behaved kinematics; accept as direct regular-kinematics A evidence.","residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case"
DDO154,A,A,correct,0.138812041,0.165021921,-0.026209880,12,0.099867441,-0.481430877,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: External HI studies describe an isolated gas-rich dwarf with an unambiguously measured extended HI rotation curve and regular, well-defined velocity field; accept as direct regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI studies describe an isolated gas-rich dwarf with an unambiguously measured extended HI rotation curve and regular, well-defined velocity field; accept as direct regular-kinematics A evidence.",projection_rms_agrees_with_external_class
ESO079-G014,A,A,correct,0.116776650,0.168884507,-0.052107857,15,0.098961100,-0.260684012,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves and negligible non-circular motions, with only a small outer HI warp caveat; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves and negligible non-circular motions, with only a small outer HI warp caveat; accept as regular-kinematics A evidence.",projection_rms_agrees_with_external_class
ESO116-G012,A,A,correct,0.118483994,0.168884507,-0.050400513,15,0.148124808,0.793314037,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves, negligible non-circular motions, and kinematics not asymmetric despite slight optical asymmetry; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves, negligible non-circular motions, and kinematics not asymmetric despite slight optical asymmetry; accept as regular-kinematics A evidence.",projection_rms_agrees_with_external_class
IC2574,C,C,correct,0.221285260,0.164436075,0.056849185,34,0.186301964,-0.752166328,disturbed_hi,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Deep M81-group HI survey reports an extended HI envelope connected to HIJASS J1021+68 as small clouds, interpreted as stripped from or falling onto IC2574; accept as direct disturbed-HI C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Deep M81-group HI survey reports an extended HI envelope connected to HIJASS J1021+68 as small clouds, interpreted as stripped from or falling onto IC2574; accept as direct disturbed-HI C evidence.",projection_rms_agrees_with_external_class
NGC0055,C,C,correct,0.204516651,0.168543519,0.035973132,21,0.142112517,-0.761907451,disturbed_hi,High,"v05_blocker_resolution_reviewer1_codex_source_audit: Sensitive HI observations report a distorted HI disk on all scales, strong asymmetry, streaming motions, outer warp, clumps and spurs; accept as direct disturbed-HI C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Sensitive HI observations report a distorted HI disk on all scales, strong asymmetry, streaming motions, outer warp, clumps and spurs; accept as direct disturbed-HI C evidence.",projection_rms_agrees_with_external_class
NGC1705,C,C,correct,0.354417125,0.164436075,0.189981050,14,0.367805796,0.475278991,disturbed_hi,High,"v05_blocker_resolution_reviewer1_codex_source_audit: HI synthesis observations describe NGC1705 as kinematically lopsided, with disturbed HI in a windy starburst dwarf; accept as direct kinematic disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI synthesis observations describe NGC1705 as kinematically lopsided, with disturbed HI in a windy starburst dwarf; accept as direct kinematic disturbance C evidence.",projection_rms_agrees_with_external_class
NGC2366,C,C,correct,0.250878781,0.164436075,0.086442706,26,0.211342075,-0.550395972,disturbed_hi,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: HI/Halpha kinematic work reports kinematic geometry differing from optical/HI morphology and disturbed HI behaviour; accept as direct kinematic disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI/Halpha kinematic work reports kinematic geometry differing from optical/HI morphology and disturbed HI behaviour; accept as direct kinematic disturbance C evidence.,projection_rms_agrees_with_external_class
NGC2403,A,A,correct,0.084927422,0.168884507,-0.083957085,73,0.121779919,0.788393294,regular_kinematics,Medium,"External literature uses NGC2403 as an isolated, undisturbed disk comparison system; this is direct calm-disk control evidence for A.",projection_rms_agrees_with_external_class
NGC2976,C,C,correct,0.239111203,0.164436075,0.074675128,27,0.151920645,-0.728961356,tidal,High,v05_blocker_resolution_reviewer1_codex_source_audit: M81-group literature reports tidal interaction evidence and HI tail/filament context involving NGC2976; accept as direct tidal/HI disturbance C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: M81-group literature reports tidal interaction evidence and HI tail/filament context involving NGC2976; accept as direct tidal/HI disturbance C evidence.,projection_rms_agrees_with_external_class
NGC3109,C,C,correct,0.175872342,0.168543519,0.007328823,25,0.156025471,0.918736379,warp,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External HI work detects a substantial HI warp in NGC3109 and links it to a likely past encounter with Antlia; accept as direct warp/encounter C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI work detects a substantial HI warp in NGC3109 and links it to a likely past encounter with Antlia; accept as direct warp/encounter C evidence.,projection_rms_agrees_with_external_class
NGC3198,A,A,correct,0.156224718,0.165021921,-0.008797203,43,0.011542359,-0.346794354,low_asymmetry,Medium,v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.14 and low velocity-field asymmetry Avel=0.014; bar proxy is not treated as a warp flag. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.14 and low velocity-field asymmetry Avel=0.014; bar proxy is not treated as a warp flag.,projection_rms_agrees_with_external_class
NGC3741,C,C,correct,0.204417844,0.168543519,0.035874325,21,0.181633280,0.729952246,warp,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External HI observations report an extremely extended HI disk that is strongly warped; accept as direct warp C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI observations report an extremely extended HI disk that is strongly warped; accept as direct warp C evidence.,projection_rms_agrees_with_external_class
NGC3917,A,A,correct,0.143599282,0.165021921,-0.021422639,17,0.027833888,-0.612061394,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Ursa Major HI synthesis work reports a well-defined symmetric rotation curve, and later work retains it in a reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Ursa Major HI synthesis work reports a well-defined symmetric rotation curve, and later work retains it in a reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence.",projection_rms_agrees_with_external_class
NGC3972,A,A,correct,0.101666153,0.168884507,-0.067218354,10,0.081464334,-0.589106921,regular_kinematics,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Published HI work reports a well-defined velocity gradient dominated by regular rotation in the inner HI disk, with later reliable-rotation subset support; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Published HI work reports a well-defined velocity gradient dominated by regular rotation in the inner HI disk, with later reliable-rotation subset support; accept as regular-kinematics A evidence.",projection_rms_agrees_with_external_class
NGC4183,A,A,correct,0.067793794,0.168884507,-0.101090713,23,0.048928593,-0.483426652,regular_kinematics,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: Ursa Major HI synthesis work reports only slight outer warping and later work retains it in the reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Ursa Major HI synthesis work reports only slight outer warping and later work retains it in the reliable-rotation subset excluding disturbed velocity fields; accept as regular-kinematics A evidence.,projection_rms_agrees_with_external_class
NGC4559,A,A,correct,0.133934337,0.165021921,-0.031087584,32,0.121892986,-0.351702751,low_asymmetry,Medium,"v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.15 and low Avel=0.025, with isolated environment support; bar/intermediate proxy is not direct disturbance evidence. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.15 and low Avel=0.025, with isolated environment support; bar/intermediate proxy is not direct disturbance evidence.",projection_rms_agrees_with_external_class
NGC5055,C,A,false_negative_C_as_A,0.117536453,0.168543519,-0.051007066,28,0.106366950,-0.530853082,tidal,High,"v05_blocker_resolution_reviewer1_codex_source_audit: External literature reports a stellar tidal stream around M63/NGC5055 and a highly warped HI disk, described as strong evidence of an ongoing minor merger; accept as direct tidal/warp C evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External literature reports a stellar tidal stream around M63/NGC5055 and a highly warped HI disk, described as strong evidence of an ongoing minor merger; accept as direct tidal/warp C evidence.","residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type tidal with confidence High traces morphology more than residual burden; margin=-0.051007"
NGC5585,A,C,false_positive_A_as_C,0.173858350,0.165021921,0.008836429,24,0.035184629,-0.700606610,low_asymmetry,Medium,"v05_batch1_reviewer1_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.13 and low Avel=0.044, with isolated environment support; bar/intermediate proxy is not direct C evidence. | v05_batch1_reviewer2_codex_source_audit: Reynolds+2020 reports low HI asymmetry Amap=0.13 and low Avel=0.044, with isolated environment support; bar/intermediate proxy is not direct C evidence.","residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case"
NGC6503,A,A,correct,0.072498887,0.168884507,-0.096385620,31,0.070637402,0.345904602,regular_kinematics,High,"DiskFit/Halpha/CO/HI work reports remarkably regular gas kinematics well described by rotation only, with no detected HI warp in the velocity-field model; direct regular-kinematic A evidence.",projection_rms_agrees_with_external_class
NGC7331,A,A,correct,0.098042642,0.168884507,-0.070841865,36,0.086375731,-0.919984958,regular_kinematics,Medium,v05_blocker_resolution_reviewer1_codex_source_audit: External kinematic literature describes ionized gas and stellar kinematics as regular and symmetric with respect to the centre; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External kinematic literature describes ionized gas and stellar kinematics as regular and symmetric with respect to the centre; accept as regular-kinematics A evidence.,projection_rms_agrees_with_external_class
UGC00128,A,A,correct,0.138644763,0.165021921,-0.026377158,22,0.116456447,-0.582740844,low_asymmetry,Medium,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.04, Ac=1.15), supporting a low-asymmetry A call under source-locked catalogue evidence. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.04, Ac=1.15), supporting a low-asymmetry A call under source-locked catalogue evidence.",projection_rms_agrees_with_external_class
UGC00191,A,A,correct,0.124355499,0.167416630,-0.043061131,9,0.039042358,-0.409085597,low_asymmetry,High,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.02), directly supporting a low-asymmetry A call. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.02), directly supporting a low-asymmetry A call.",projection_rms_agrees_with_external_class
UGC00731,C,C,correct,0.339703437,0.164436075,0.175267362,12,0.262149388,-0.905692564,disturbed_hi,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.648; this supports a direct disturbed-HI C call, but without a second positive disturbance proxy confidence remains medium. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.648; this supports a direct disturbed-HI C call, but without a second positive disturbance proxy confidence remains medium.",projection_rms_agrees_with_external_class
UGC02455,C,C,correct,0.793075490,0.164436075,0.628639415,8,0.766182929,-0.906339873,disturbed_hi,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.673, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.673, supporting direct disturbed-HI evidence at medium confidence.",projection_rms_agrees_with_external_class
UGC03580,C,C,correct,0.280295930,0.164436075,0.115859855,47,0.052744732,-0.719992416,disturbed_hi,High,v05_batch1_reviewer1_codex_source_audit: WHISP gives high resolved HI asymmetry A=0.968 and a high kinematical lopsidedness flag; direct disturbance evidence despite interaction flag 0. | v05_batch1_reviewer2_codex_source_audit: WHISP gives high resolved HI asymmetry A=0.968 and a high kinematical lopsidedness flag; direct disturbance evidence despite interaction flag 0.,projection_rms_agrees_with_external_class
UGC04305,C,C,correct,0.595364038,0.164436075,0.430927963,22,0.560838494,0.303245341,disturbed_hi,High,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.092, which is strong direct disturbed-HI evidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.092, which is strong direct disturbed-HI evidence.",projection_rms_agrees_with_external_class
UGC04325,C,C,correct,0.284250584,0.164436075,0.119814509,8,0.233692339,-0.926610322,disturbed_hi,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.925, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.925, supporting direct disturbed-HI evidence at medium confidence.",projection_rms_agrees_with_external_class
UGC04499,C,A,false_negative_C_as_A,0.137445134,0.168543519,-0.031098385,9,0.062808697,-0.373682951,disturbed_hi,Medium,"v05_batch1_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.714, supporting direct disturbed-HI evidence at medium confidence. | v05_batch1_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.714, supporting direct disturbed-HI evidence at medium confidence.","residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type disturbed_hi with confidence Medium traces morphology more than residual burden; margin=-0.031098"
UGC05253,C,A,false_negative_C_as_A,0.080485995,0.168543519,-0.088057524,73,0.022398110,-0.024948899,interaction,High,v05_batch1_reviewer1_codex_source_audit: WHISP records a positive interaction flag together with very high resolved HI asymmetry A=1.460; this is direct source-locked disturbance evidence. | v05_batch1_reviewer2_codex_source_audit: WHISP records a positive interaction flag together with very high resolved HI asymmetry A=1.460; this is direct source-locked disturbance evidence.,"residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type interaction with confidence High traces morphology more than residual burden; margin=-0.088058"
UGC05716,A,A,correct,0.113234582,0.168884507,-0.055649925,12,0.093319973,-0.941345377,low_asymmetry,High,"v05_batch1_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.00), directly supporting a low-asymmetry A call. | v05_batch1_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is very low (Af=1.01, Ac=1.00), directly supporting a low-asymmetry A call.",projection_rms_agrees_with_external_class
UGC05764,A,C,false_positive_A_as_C,0.329468364,0.165021921,0.164446443,10,0.282744366,-0.971425235,low_asymmetry,High,"v05_batch2_reviewer1_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.02, Ac=1.04), directly supporting a low-asymmetry A call. | v05_batch2_reviewer2_codex_source_audit: Yu+2022 ALFALFA global HI profile asymmetry is low (Af=1.02, Ac=1.04), directly supporting a low-asymmetry A call.","residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case"
UGC05829,C,A,false_negative_C_as_A,0.138511849,0.168543519,-0.030031670,11,0.124639119,-0.325478517,disturbed_hi,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.089, supporting direct disturbed-HI evidence; Yu profile asymmetry is low, so confidence is medium. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.089, supporting direct disturbed-HI evidence; Yu profile asymmetry is low, so confidence is medium.","residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type disturbed_hi with confidence Medium traces morphology more than residual burden; margin=-0.030032"
UGC05918,C,A,false_negative_C_as_A,0.142410680,0.168543519,-0.026132839,8,0.105256193,-0.724099296,disturbed_hi,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports extremely high HI asymmetry A=1.930, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports extremely high HI asymmetry A=1.930, which is strong direct disturbed-HI evidence.","residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type disturbed_hi with confidence High traces morphology more than residual burden; margin=-0.026133"
UGC06446,C,C,correct,0.194477890,0.168543519,0.025934371,17,0.154220510,-0.831810514,disturbed_hi,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.703, supporting direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.703, supporting direct disturbed-HI evidence at medium confidence.",projection_rms_agrees_with_external_class
UGC06818,C,C,correct,0.308337913,0.164436075,0.143901838,8,0.135130601,-0.868725418,interaction,Medium,Ursa Major rotation-curve notes identify UGC6818 as probably interacting with a faint companion on its western edge; direct interaction evidence supports C.,projection_rms_agrees_with_external_class
UGC06917,C,A,false_negative_C_as_A,0.071490152,0.168543519,-0.097053367,11,0.040598266,-0.377082106,disturbed_hi,High,HI observations of the NGC4026 companion system report a disturbed velocity field for UGC6917 and gas kinematics consistent with tidal interaction; direct disturbed-HI C evidence.,"residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type disturbed_hi with confidence High traces morphology more than residual burden; margin=-0.097053"
UGC06973,C,C,correct,0.212731540,0.164436075,0.048295465,9,0.157912063,-0.972853623,interaction,High,Ursa Major notes identify UGC6973 as interacting with UGC6962 and having a warped HI disk; NRAO HI gallery also lists the UGC6962/6973 system as interacting. Direct interaction/warp evidence supports C.,projection_rms_agrees_with_external_class
UGC07323,C,A,false_negative_C_as_A,0.146477589,0.168543519,-0.022065930,10,0.135135800,-0.857865292,disturbed_hi,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.740, supporting direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.740, supporting direct disturbed-HI evidence at medium confidence.","residual_low_for_external_C; candidate disturbance not expressed in smooth rotation-curve residuals, or label evidence type disturbed_hi with confidence Medium traces morphology more than residual burden; margin=-0.022066"
